Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Year,Month,Month_Name,Quarter,Day_of_Week,Week_of_Year,Shipping_Days,Discount,Discounted_Sales,Profit_Margin,Profit,Profitability,Is_Profitable
11,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015,6,June,2,Tuesday,24,5,0.12262115130034397,1496.9697535897737,0.30369607142671723,454.6238332098352,0.2664565095029816,True
12,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,2015,6,June,2,Tuesday,24,5,0.2439819704323989,689.0529765806212,0.1849232290909137,127.4219014439942,0.13980529527859065,True
13,CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,2018,4,April,2,Sunday,15,5,0.004152817944892195,15.487415375321037,0.3713063746514699,5.750576055731888,0.3697644068757644,True
14,CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017,12,December,4,Tuesday,49,5,0.0741668169187979,377.7177187007365,0.27292412632660246,103.0882783744759,0.2526822126166145,True
15,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016,11,November,4,Tuesday,47,4,0.14916020975320216,58.54628596688217,0.27923790513799435,16.348342247002133,0.23758672063656638,True
16,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,11,November,4,Tuesday,47,4,0.03455107879814454,2.4561020555375204,0.2813297187335407,0.6909745004652417,0.27160947345331826,True
17,CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711.0,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015,11,November,4,Wednesday,46,7,0.12117059367677917,585.1949250825063,0.36640203330946364,214.41661043260956,0.32200488140897693,True
18,CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2015,5,May,2,Wednesday,20,2,0.05776555600621558,52.29401164165503,0.38364482568096425,20.06232698042106,0.36148336901659567,True
19,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2015,8,August,3,Thursday,35,5,0.15939852479581443,7.195548627747829,0.33442544806605534,2.4063745739156577,0.2811185249901469,True
20,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015,8,August,3,Thursday,35,5,0.10824582803960839,190.3716806301044,0.1833601179164192,34.90657380828284,0.1635121501231162,True
21,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015,8,August,3,Thursday,35,5,0.15508290299328473,19.196516443992568,0.3592045376808191,6.895475814346592,0.30349805520891693,True
22,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,2017,12,December,4,Saturday,49,4,0.10496670276027537,17.417347964285042,0.33455257507603436,5.827018612446886,0.29943569437034356,True
23,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017,12,December,4,Saturday,49,4,0.05691334201597034,56.90584894275636,0.3417385790279094,19.446923956074418,0.3222890943996423,True
24,US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018,7,July,3,Monday,29,2,0.13968202023871254,61.40261485152261,0.27900934166836705,17.13190314643962,0.24003675315865633,True
25,CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057.0,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016,9,September,3,Sunday,38,5,0.19879743602869823,836.960234401341,0.308194871885833,257.94685221485804,0.24692652155773626,True
26,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017,1,January,1,Monday,3,4,0.05795192040573121,10.972976031114044,0.27520262304975773,3.019791786424705,0.25925410254332976,True
27,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,2017,1,January,1,Monday,3,4,0.08993475643167195,82.42460910998346,0.15505168895598423,12.780074854039741,0.14110715307540844,True
28,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,9,September,3,Saturday,37,4,0.20732465594709876,2444.1589361130373,0.30207643506955023,738.3228181644108,0.2394485420990296,True
29,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016,9,September,3,Saturday,37,4,0.13724720562316362,8.297956376316412,0.3917417456680983,3.2506559163359183,0.33797628574921174,True
30,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016,9,September,3,Saturday,37,4,0.23225306125301828,95.35416979237513,0.23694578366359342,22.593768487045672,0.18191440005672843,True
31,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2016,9,September,3,Saturday,37,4,0.08312029337293357,2.9926953624307444,0.3885785839016865,1.162897325982483,0.3562798180093392,True
32,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016,9,September,3,Saturday,37,4,0.02003420144028665,84.5749682788975,0.3320271701450723,28.081187382751594,0.3253752709347376,True
33,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,2016,9,September,3,Saturday,37,4,0.18223391690300425,5.608239797879197,0.3209910616268139,1.8001948465789916,0.26249560317570597,True
34,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2016,9,September,3,Saturday,37,4,0.10154619280244764,14.159632001433424,0.37491470168943997,5.30865420784966,0.33684354110721193,True
35,CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095.0,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,2018,10,October,4,Friday,42,4,0.0813944389822183,27.073143094316062,0.3319125155328775,8.985915027815995,0.3048966825399021,True
36,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,2017,12,December,4,Friday,49,2,0.21167946962329226,865.2164681917734,0.24312952273844846,210.35966697691183,0.1916639943154095,True
37,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2017,12,December,4,Friday,49,2,0.2780037802297529,137.84351827853556,0.25833458041852575,-0.9857037826235432,-0.005162915266203348,False
38,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,2016,12,December,4,Tuesday,52,4,0.02650975582097488,110.32370239232056,0.25193464936058624,27.794363278370948,0.24525592332319415,True
39,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2016,12,December,4,Tuesday,52,4,0.24593992548934418,401.4609804214135,0.30184741593721837,121.17995953982589,0.22761108495246782,True
40,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,2016,12,December,4,Tuesday,52,4,0.2622030749864138,156.45574032453106,0.2916336800212246,4.981052776858638,0.023489105701546928,True
41,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,2016,12,December,4,Tuesday,52,4,0.07440764696895577,343.55026248982665,0.188315315597807,64.69577610448114,0.1743032160759579,True
42,CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540.0,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,2018,9,September,3,Monday,37,5,0.14903538202225403,125.23476089854891,0.1940170957834973,24.297684600677147,0.1651016837945555,True
43,CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2017,7,July,3,Monday,29,5,0.10615183543716498,69.61289505615359,0.31865942990682317,22.18280545275741,0.28483314654285324,True
44,CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935.0,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2018,9,September,3,Wednesday,38,4,0.09669381286467023,86.37052438913169,0.356470546466753,30.788548027613793,0.32200205015493005,True
45,CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2017,3,March,1,Saturday,10,2,0.10175599632000339,41.30125928920624,0.2268368068590763,9.368645776422309,0.20375480157508286,True
46,CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2017,3,March,1,Saturday,10,2,0.19030962273534793,14.137193987040826,0.28695351604487807,4.056717521589873,0.23234350066379572,True
47,CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,2015,10,October,4,Tuesday,43,5,0.02243971289411282,207.20367845496386,0.3335583550220891,69.11451813996362,0.32607340130196083,True
48,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,2017,6,June,2,Tuesday,25,5,0.15401360423556215,38.0693878093997,0.24384663140188764,9.283091976854204,0.2062909328189823,True
49,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2017,6,June,2,Tuesday,25,5,0.15934205586865594,18.3263431820633,0.15406904371511435,2.8235221688554986,0.1295193655438302,True
50,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,2016,4,April,2,Monday,16,4,0.029233070762367454,37.10271203546231,0.28052624930537684,10.408284646365706,0.2723256056087312,True
51,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,2016,4,April,2,Monday,16,4,0.05942986373779833,70.71206284419233,0.32814379842398345,23.203724896088698,0.3086422571972426,True
52,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2016,4,April,2,Monday,16,4,0.294578877877539,4.34539411227436,0.3065407780841178,0.3966603447895212,0.06439291311518201,True
53,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2016,4,April,2,Monday,16,4,0.11114710530028044,79.98787199402777,0.22298824434786738,17.8363551450702,0.1982037464726103,True
54,CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,2017,12,December,4,Monday,50,6,0.04852140339069044,14.519563384258063,0.31111442884996193,4.517245669444268,0.2960187201470687,True
55,CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,2017,12,December,4,Monday,50,6,0.16957999576221705,855.2910833647046,0.21783338297091906,186.31095011419595,0.1808931988098412,True
56,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,2017,6,June,2,Saturday,24,1,0.13693432548317236,180.00097707722958,0.3134463548215517,56.42065012917529,0.2705247896489034,True
57,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,2017,6,June,2,Saturday,24,1,0.08974815016950125,29.49215993450816,0.355089438370569,10.4723545074795,0.3232208181320833,True
58,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,2017,6,June,2,Saturday,24,1,0.21210787048335417,251.66062508891187,0.20386345876108672,51.30440546460269,0.1606224146539015,True
59,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2017,6,June,2,Saturday,24,1,0.1738918205680809,12.028135092528743,0.3190392428885166,3.8374471132811676,0.2635609281099703,True
60,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2017,6,June,2,Saturday,24,1,0.11506606615265287,26.548018015420414,0.18625762491690084,4.944770781803302,0.16482569272677675,True
61,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,2017,6,June,2,Saturday,24,1,0.19458514208177993,39.04651231187531,0.35580455061791844,13.892926766323814,0.28657027158258697,True
62,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,2017,6,June,2,Saturday,24,1,0.015117018481089463,1.6546034089517696,0.3332953538330684,0.5514716286399812,0.32825692180951266,True
63,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2016,11,November,4,Thursday,47,6,0.21574750183038588,10.963849924411207,0.1968256124574056,2.157966476263316,0.1543609782734847,True
64,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2016,11,November,4,Thursday,47,6,0.07613365276078382,23.85792455110552,0.32217192271220096,7.686353424552289,0.29764379741915614,True
65,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,2016,11,November,4,Thursday,47,6,0.12021941227450186,129.09020563696234,0.3361491213508244,43.39355919986213,0.2957374715454381,True
66,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,2016,11,November,4,Thursday,47,6,0.1010051006730624,71.70383317031656,0.2400304471194133,17.2111031360469,0.2157861476435168,True
67,US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610.0,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,2016,4,April,2,Saturday,17,5,0.18556469132764997,173.56838080770788,0.2840974201769787,49.31032921176523,0.23137897009485595,True
68,CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,2015,12,December,4,Saturday,49,5,0.024976662648129234,1085.2243750327284,0.3133438197525704,340.0483509613511,0.30551753687373423,True
69,CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,2015,12,December,4,Saturday,49,5,0.06491012873595417,157.06517549647924,0.21740678940177102,34.14703553151527,0.2032948867136316,True
70,CA-2017-119823,2017-06-04,2017-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2017,6,June,2,Sunday,22,2,0.17042959677040184,62.947802197061904,0.31442241236216967,19.792199819696886,0.26083552740770805,True
71,CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,2017,9,September,3,Monday,38,5,0.17358222634785225,3.8147444431783137,0.25015183446053885,0.954265320459202,0.20672992210987912,True
72,CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201.0,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,2018,9,September,3,Friday,37,3,0.13477970757214405,16.482446570750657,0.31006153753996035,5.110572726147195,0.2682715341809551,True
73,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,2016,4,April,2,Tuesday,17,6,0.15267272379961586,704.9220648530428,0.30770046450289734,216.9048467936228,0.260722996472833,True
74,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2016,4,April,2,Tuesday,17,6,0.14197293545582423,83.26294634336682,0.33822027180892333,28.161216343865327,0.2902021469895437,True
